  0.00357264   0.02515818 1
  0.00226208   0.01521772 2
  0.00220020   0.01476046 0
  0.00261403   0.01784158 2
  0.00302268   0.02093259 1
  0.00280584   0.01928682 1
  0.00248074   0.01684347 1
  0.00236329   0.01596835 1
  0.00229549   0.01546514 1
  0.00227857   0.01533978 1
  0.00171003   0.01118654 0
  0.00177579   0.01166063 0
  0.00183960   0.01212240 0
  0.00188998   0.01248805 1
  0.00171291   0.01120730 0
  0.00175908   0.01153997 0
  0.00189005   0.01248857 0
  0.00166679   0.01087578 0
  0.00154266   0.00998827 0
  0.00146161   0.00941252 0
  0.00165469   0.01078897 0
  0.00160838   0.01045730 0
  0.00173164   0.01134216 1
  0.00166874   0.01088981 1
  0.00166031   0.01082926 1
  0.00165179   0.01076819 1
  0.00153066   0.00990278 0
  0.00146752   0.00945443 0
  0.00166197   0.01084118 0
  0.00155212   0.01005564 0
  0.00149032   0.00961611 0
  0.00148016   0.00954400 0
  0.00146987   0.00947108 0
  0.00115627   0.00727370 0
  0.00144253   0.00927746 0
  0.00117037   0.00737134 0
  0.00112620   0.00706590 0
  0.00138270   0.00885509 0
  0.00112675   0.00706975 0
  0.00094931   0.00585521 2
  0.00116880   0.00736045 0
  0.00141634   0.00909232 1
  0.00112534   0.00706001 0
  0.00118346   0.00746211 0
  0.00144460   0.00929214 0
  0.00114212   0.00717584 0
  0.00118414   0.00746681 0
  0.00112592   0.00706401 0
  0.00125249   0.00794226 0
  0.00100868   0.00625924 0
  0.00122591   0.00775702 0
  0.00117160   0.00737984 0
  0.00114094   0.00716769 0
  0.00111045   0.00695732 0
  0.00143478   0.00922267 0
  0.00092743   0.00570691 0
  0.00100869   0.00625929 0
  0.00098931   0.00612714 0
  0.00096920   0.00599024 0
  0.00094826   0.00584806 0
  0.00098930   0.00612709 0
  0.00096919   0.00599019 0
  0.00094825   0.00584802 0
  0.00092640   0.00569996 0
  0.00090352   0.00554530 0
  0.00087947   0.00538315 0
  0.00100825   0.00625628 0
  0.00098888   0.00612422 0
  0.00096878   0.00598742 0
  0.00094786   0.00584534 0
  0.00114098   0.00716799 0
  0.00112565   0.00706215 0
  0.00110997   0.00695398 0
  0.00109389   0.00684325 0
  0.00107738   0.00672975 0
  0.00106041   0.00661324 0
  0.00115598   0.00727169 0
  0.00111076   0.00695941 0
  0.00098888   0.00612422 0
  0.00096878   0.00598741 0
  0.00094786   0.00584533 0
  0.00115568   0.00726968 0
  0.00114070   0.00716606 0
  0.00112538   0.00706029 0
  0.00110971   0.00695217 0
  0.00109364   0.00684151 0
  0.00107714   0.00672806 0
  0.00098888   0.00612422 0
  0.00096878   0.00598742 0
  0.00094786   0.00584533 0
  0.00092602   0.00569737 0
  0.00096941   0.00599173 0
  0.00094847   0.00584950 0
  0.00092662   0.00570139 0
  0.00090373   0.00554668 0
  0.00087967   0.00538447 0
  0.00102673   0.00638256 0
  0.00100804   0.00625485 0
  0.00098868   0.00612285 0
  0.00096858   0.00598608 0
  0.00094767   0.00584404 0
  0.00104482   0.00650634 0
  0.00112648   0.00706788 0
  0.00102673   0.00638255 0
  0.00100804   0.00625485 0
  0.00098868   0.00612284 0
  0.00096858   0.00598607 0
  0.00111103   0.00696131 0
  0.00109492   0.00685035 0
  0.00107838   0.00673663 0
  0.00106138   0.00661990 0
